participantId,trialNumber,condition,values,marked,reportedPercent,truePercent,log2Error
004,2,ComparativeBar,"[39,86,74,43,78,100,85,100,68,56]","[7,0]",30,39,3.189824558880017
004,3,StackedBar,"[59,14,57,88,3,30,85,90,25,77]","[4,8]",50,12,5.252665432450248
004,4,StackedBar,"[60,75,97,4,3,24,37,2,11,62]","[8,2]",10,11,0.16992500144231237
004,5,Bar,"[75,65,11,6,50,25,96,1,74,89]","[2,9]",15,12,1.6438561897747246
004,6,Bar,"[38,24,25,57,13,9,49,15,59,46]","[9,2]",40,54,3.820178962415188
004,7,StackedBar,"[40,44,50,60,54,24,88,67,66,51]","[9,1]",45,86,5.361943773735241
004,8,Bar,"[45,76,97,59,54,81,11,21,15,25]","[2,7]",18,22,2.0443941193584534
004,9,Bar,"[69,0,95,15,94,62,56,20,61,5]","[1,6]",1,0,0.16992500144231237
004,10,ComparativeBar,"[20,21,26,1,31,54,2,91,20,33]","[1,6]",20,10,3.3398500028846247
004,11,Bar,"[11,43,32,25,95,98,45,43,32,20]","[8,4]",30,34,2.0443941193584534
004,12,StackedBar,"[6,35,97,55,80,82,93,6,46,6]","[4,8]",55,57,1.0874628412503393
004,13,StackedBar,"[50,36,56,44,52,32,29,60,15,0]","[2,9]",1,0,0.16992500144231237
004,14,ComparativeBar,"[82,87,48,37,26,98,23,94,19,66]","[6,1]",20,26,2.6147098441152083
004,15,Bar,"[6,7,8,17,94,93,26,15,22,64]","[5,0]",7,6,0.16992500144231237
004,16,Bar,"[86,58,85,96,97,83,44,25,20,85]","[1,2]",67,68,0.16992500144231237
004,17,StackedBar,"[41,43,89,68,0,57,55,50,55,30]","[9,3]",30,44,3.820178962415188
004,18,Bar,"[59,68,85,90,36,86,73,38,59,41]","[1,3]",80,76,2.0443941193584534
004,19,ComparativeBar,"[31,79,67,59,3,60,8,79,57,1]","[1,8]",70,72,1.0874628412503393
004,20,StackedBar,"[3,63,47,68,2,16,29,91,78,50]","[6,9]",60,58,1.0874628412503393
004,21,ComparativeBar,"[83,84,95,82,15,0,52,16,0,35]","[6,5]",1,0,0.16992500144231237
004,22,ComparativeBar,"[65,3,86,94,26,56,83,5,74,75]","[0,4]",40,40,0
004,23,StackedBar,"[88,18,28,15,70,69,79,31,69,78]","[4,6]",87,89,1.0874628412503393
004,24,ComparativeBar,"[99,46,68,23,98,84,79,93,31,41]","[4,7]",90,95,2.357552004618084
